0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.05,0.04,0.02,0.04,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.03,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.07,0.02,0.05,0.05,0.025,0.04,0.04,0.045,0.05,0.04,0.04,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.0649999999999999,0.02,0.05,0.05,0.025,0.04,0.04,0.045,0.045,0.04,0.04,0.045,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.0649999999999999,0.02,0.045,0.04,0.015,0.035,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.045,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.035,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.07,0.02,0.045,0.04,0.025,0.035,0.04,0.045,0.05,0.04,0.04,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.03,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.045,0.05,0.025,0.035,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.035,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.05,0.04,0.015,0.035,0.04,0.045,0.05,0.04,0.045,0.04,0.03,0.03,0.04,0.02,0.055,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.035,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.0649999999999999,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.05,0.04,0.045,0.045,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.07,0.02,0.05,0.05,0.025,0.035,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.03,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.025,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.02,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.03,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.07,0.02,0.05,0.05,0.025,0.035,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.03,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.025,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.02,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.03,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.05,0.04,0.02,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.0649999999999999,0.02,0.045,0.04,0.02,0.04,0.04,0.045,0.05,0.04,0.035,0.045,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.04,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.0649999999999999,0.02,0.05,0.05,0.015,0.04,0.04,0.045,0.045,0.04,0.035,0.035,0.03,0.03,0.03,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.03,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.05,0.04,0.045,0.045,0.03,0.03,0.04,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.035,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.07,0.02,0.05,0.05,0.025,0.035,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.03,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.025,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.02,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.03,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.05,0.04,0.02,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.0649999999999999,0.02,0.045,0.04,0.02,0.04,0.04,0.045,0.05,0.04,0.035,0.045,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.04,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.0649999999999999,0.02,0.05,0.05,0.015,0.04,0.04,0.045,0.045,0.04,0.035,0.035,0.03,0.03,0.03,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.03,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.05,0.04,0.045,0.045,0.03,0.03,0.04,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.035,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.02,0.07,0.02,0.05,0.05,0.025,0.035,0.04,0.045,0.05,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.03,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.025,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.02,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.03,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.07,0.02,0.05,0.04,0.02,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.035,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.0649999999999999,0.02,0.045,0.04,0.02,0.04,0.04,0.045,0.05,0.04,0.035,0.045,0.03,0.03,0.04,0.02,0.0600000000000001,0.025,0.04,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.03,0.035,0.03,0.035,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.04,0.01,0.015,0.0649999999999999,0.02,0.05,0.05,0.015,0.04,0.04,0.045,0.045,0.04,0.035,0.035,0.03,0.03,0.03,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.04,0.03,0.035,0.03,0.03,0.03,0.0600000000000001
0.015,0.015,0.035,0.015,0.035,0.01,0.015,0.07,0.02,0.05,0.05,0.02,0.035,0.04,0.045,0.05,0.04,0.045,0.045,0.03,0.03,0.04,0.02,0.05,0.025,0.025,0.035,0.03,0.02,0.035,0.04,0.015,0.04,0.035,0.035,0.035,0.03,0.035,0.03,0.0600000000000001
